分野,問題文,正解,解説,出典
権利,抵当権者は、満期となった最後の3年分の利息について、抵当権を行使できる。,×,最後の2年分。後順位抵当権者等の保護のため。（民法375条）,直前対策
権利,相続の承認または放棄は、自己のために相続の開始があったことを知った時から3か月以内にしなければならない。,○,この期間（熟慮期間）は伸長を請求できる。（民法915条）,直前対策
権利,遺留分侵害額の請求権は、相続開始および侵害の事実を知った時から1年、相続開始から10年で消滅する。,○,1年と10年のセットで。（民法1048条）,直前対策
権利,一般定期借地権は、存続期間を30年以上として設定することができる。,×,一般定期借地は50年以上。30年は普通借地の法定期間。事業用定期借地は10年以上50年未満。（借地借家法22条）,直前対策
権利,建物の賃貸借で期間を6か月と定めた場合、期間の定めがない建物賃貸借とみなされる。,○,1年未満の定めは期間の定めなしとみなす。借地の「30年に引上げ」と直し方が違う。（借地借家法29条1項）,直前対策
法令,市街化区域は、すでに市街地を形成している区域、およびおおむね10年以内に優先的かつ計画的に市街化を図るべき区域である。,○,都計法7条2項のとおり。「おおむね10年以内」が頻出。調整区域（市街化を抑制すべき区域）との対比で押さえる。,法令税
法令,用途地域は、市街化区域・市街化調整区域・非線引き区域いずれにも、必ず定めなければならない。,×,市街化区域には必ず定めるが、市街化調整区域は原則定めない（法13条1項7号）。非線引き・準都計は定めることができる。,法令税
法令,準都市計画区域は、都市計画区域の中で、用途地域を補完するために指定される区域である。,×,準都市計画区域は都市計画区域【外】に指定する（法5条の2）。「都計区域の中の一部」は誤り。,法令税
法令,"市街化区域内において1,000㎡未満の開発行為を行う場合は、原則として知事の許可は不要である。",○,"都計法29条1項1号・令19条。市街化区域は1,000㎡未満なら許可不要。三大都市圏は500㎡未満（令19条2項）。",法令税
法令,市街化調整区域内では、500㎡の開発行為であっても、知事の許可は不要である。,×,市街化調整区域は面積無関係で原則すべて許可必要（法29条1項）。「面積が小さければ不要」は誤り。,法令税
法令,ゴルフコースの建設は、面積が1ヘクタール未満であれば開発行為に該当しない。,×,ゴルフコースは面積無関係で第2種特定工作物（令1条2項）。1ha以上の制限があるのは野球場・テニスコート等。,法令税
法令,建築基準法の単体規定は、原則として日本全国に適用される。,○,法19〜41条の単体規定は全国適用。集団規定（法41条の2〜）は原則都計区域内のみ。,法令税
法令,建築物の敷地は、原則として幅員4m以上の道路に2m以上接していなければならない。,○,道路の定義は幅員4m以上（法42条）、接道義務は2m以上（法43条1項）。条例で接道要件は強化可能。,法令税
法令,建蔽率は、角地と防火地域内の耐火建築物の両方の条件を満たす場合、+20%緩和される。,○,法53条3項。角地で+10%、防火＋耐火で+10%、両方該当で+20%。指定80%＋防火＋耐火なら制限なし（100%）。,法令税
法令,前面道路幅員が12m未満の場合、容積率の計算では、住居系用途地域で道路幅員に0.6を乗じる。,×,住居系は0.4、その他（商業・工業系）は0.6（法52条2項）。乗数を入れ替えるひっかけ頻出。,法令税
法令,国土利用計画法の事後届出は、契約締結の日から2週間以内に売主と買主が共同で行う必要がある。,×,届出義務者は権利取得者（買主）のみ（法23条1項）。「共同で」は誤り。期限の2週間は正しい。,法令税
法令,"市街化区域内で1,500㎡の土地を売買により取得した買主は、契約から2週間以内に事後届出をしなければならない。",×,"市街化区域の事後届出は2,000㎡以上（法23条2項1号イ）。1,500㎡なら届出不要。",法令税
法令,国土利用計画法の事後届出を怠った契約は、無効となる。,×,無届でも契約は有効（法47条）。ただし6月以下の拘禁刑又は100万円以下の罰金あり。「契約無効」は規制区域（許可制）の話。,法令税
法令,農地法3条の許可は、市街化区域内であっても農業委員会への届出に代えることはできない。,○,3条は市街化区域でも許可必要（届出特例なし）。4条・5条のみ届出特例あり（法4条1項7号・5条1項6号）。,法令税
法令,農地を相続により取得した者は、農地法3条の許可は不要だが、農業委員会への届出は必要である。,○,法3条の3。相続は許可不要だが、遅滞なく農業委員会へ届出が必要。「手続一切不要」は誤り。,法令税
法令,土地区画整理組合を設立しようとする者は、3人以上で共同して定款・事業計画を作成する。,×,組合設立は7人以上必要（法14条1項）。「3人」「5人」は誤り。,法令税
法令,土地区画整理組合の設立認可には、施行地区内の所有者・借地権者それぞれの3分の2以上の同意が必要である。,○,法18条。人数と地積の両方で2/3以上の同意が必要。「どちらか一方」は誤り。,法令税
法令,土地区画整理事業の換地処分は、公告があった日からその効力を生じる。,×,換地処分の効力は公告の日の翌日から（法104条1項）。「公告の日に発生」は誤り。,法令税
法令,盛土規制法における許可権者は、原則として国土交通大臣である。,×,許可権者は都道府県知事（指定都市・中核市は市長）。「国土交通大臣」は誤り。,法令税
法令,建築後1年を経過していなくても、一度でも居住の用に供された住宅は「新築」と表示することができない。,○,「新築」は建築後1年未満かつ未使用（規約18条(1)）。一度でも入居すれば中古扱い。,法令税
法令,公園や旧跡等の名称を物件名に使用する場合、その公園等から直線距離500m以内であれば使用できる。,×,"公園・旧跡等は直線距離300m以内（規約19条(3)）。500mは誤り。街道・道路の坂名は50m以内、別荘地の駅名は5,000m以内。",法令税
法令,二重価格表示で過去の販売価格を比較対象とする場合、その価格は変更前2か月以上公表され、かつ変更後6か月以内であることが必要である。,○,規則12条。「2か月以上＋6か月以内」の2セットが要件。「1週間だけ」「変更後1年」は誤り。,法令税
法令,"市街化区域内で1,500㎡の開発行為を行う場合、開発許可は不要である。",×,"市街化区域は1,000㎡以上で許可必要。（都計法29条、施行令19条1項）",直前対策
法令,"市街化区域内で1,500㎡の土地売買契約を締結した場合、国土法の事後届出が必要である。",×,"市街化区域の届出基準は2,000㎡以上。開発許可の1,000㎡との取り違え注意。（国土法23条2項1号イ）",直前対策
法令,"都市計画区域外では、10,000㎡以上の開発行為に開発許可が必要であり、10,000㎡以上の土地売買に事後届出が必要である。",○,都市計画区域外でだけ両法の数字が一致する。（都計法29条2項／国土法23条2項1号ハ）,直前対策
法令,国土法の事後届出は、契約締結日から起算して3週間以内にしなければならない。,×,届出は2週間以内。3週間は知事の勧告期限。（国土法23条1項・24条2項),直前対策
法令,注視区域内で事前届出をした者は、届出から6週間を経過するまで契約を締結できないのが原則である。,○,不勧告通知があれば6週間を待たずに締結可。（国土法27条の4第3項）,直前対策
法令,市街化区域内の農地を耕作目的で取得する場合、あらかじめ農業委員会に届け出れば3条許可は不要である。,×,届出特例は4条・5条のみ。3条は常に許可必要。（農地法3条）,直前対策
法令,4ヘクタールを超える農地を転用する場合、農林水産大臣の許可が必要である。,×,許可権者は都道府県知事等のまま。知事が大臣に協議する。（農地法附則2条）,直前対策
法令,相続により農地を取得した者は、3条許可は不要だが、農業委員会への届出が必要である。,○,（農地法3条1項12号・3条の3第1項）,直前対策
法令,準耐火構造の主要構造部は、屋根・階段を含めすべて45分間の耐火性能が必要である。,×,壁・柱・床・はりは45分間、屋根（軒裏除く）・階段は30分間。（施行令107条の2）,直前対策
法令,住宅の居室には、原則として床面積の7分の1以上の採光に有効な開口部が必要である。,○,（建基法28条1項、施行令19条3項）,直前対策
法令,住宅の居室の採光割合は、いかなる場合も7分の1未満にすることはできない。,×,令和5年改正により、床面50ルックス以上の照明設備の設置で10分の1まで緩和可。（施行令19条3項ただし書）,直前対策
法令,幼稚園の教室に必要な採光割合は、大学の教室と同じ10分の1である。,×,幼稚園〜高校等の教室は5分の1。10分の1は大学等の教室。（施行令19条3項）,直前対策
法令,免許証の記載事項である商号や役員に変更があった場合、30日以内に変更の届出をしなければならない。,○,変更の届出も30日以内。国土法の事後届出2週間と混同しない。（業法9条）,直前対策
法令,居室には、原則として床面積の20分の1以上の換気に有効な開口部が必要である。,○,採光1/7（住宅）と換気1/20をセットで覚える。（建基法28条2項）,直前対策
法令,固定資産税の小規模住宅用地（200㎡以下の部分）は、課税標準が6分の1に軽減される。,○,200㎡超の部分は3分の1。都市計画税は1/3・2/3。（地方税法附則）,直前対策
法令,建蔽率は、街区の角地等で特定行政庁が指定するもの＋防火地域内の耐火建築物の両方を満たすと、合わせて20%緩和される。,○,各+10%で合計+20%。指定80%＋防火＋耐火なら制限なし。（建基法53条）,直前対策
法令,盛土規制法の宅地造成等工事規制区域内では、盛土により高さ2mを超える崖を生じる場合に許可が必要であり、切土は1m超で許可対象となる。,×,逆。盛土は崖1m超、切土は2m超。盛土の方が基準が厳しい。（盛土規制法施行令3条）,直前対策
法令,土地区画整理組合を設立するには、宅地の所有者・借地権者が7人以上で共同して定款・事業計画を定め、知事の認可を受ける。,○,設立は7人以上。「3人」「5人」は誤り。（区画整理法14条）,直前対策
税,不動産取得税は、相続による不動産の取得には課税されない。,○,相続は非課税（地方税法73条の7）。ただし死因贈与は課税。「贈与は無償だから非課税」は誤り（贈与は3%課税）。,法令税
税,不動産取得税の標準税率は4%だが、住宅および土地の取得については令和9年3月31日まで3%に軽減される。,○,地方税法附則。住宅・土地は3%、事務所・店舗等は本則4%のまま。,法令税
税,"新築住宅の不動産取得税の課税標準特例は、認定長期優良住宅の場合、令和13年3月31日まで1,300万円控除を受けられる。",○,"令和8年度税制改正で5年延長＋床面積要件50㎡以上→40㎡以上に緩和。一般の新築住宅控除（1,200万円）より100万円加算。",法令税
税,固定資産税の納税義務者は、毎年4月1日現在の固定資産課税台帳上の所有者である。,×,賦課期日は1月1日（法343条）。「4月1日」は誤り。年度途中で売却しても、1月1日の所有者が全額納税。,法令税
税,固定資産税の小規模住宅用地（200㎡以下の部分）は、課税標準を6分の1にする特例が適用される。,○,地方税法附則。200㎡以下=1/6、超部分=1/3。都市計画税は1/3・2/3（固定の倍）。,法令税
税,新築住宅の固定資産税減額措置は、床面積120㎡相当部分までの税額を2分の1に減額し、一般住宅は3年間、3階建以上の耐火住宅は5年間適用される。,○,地方税法附則15条の6。認定長期優良住宅はそれぞれ5年・7年に延長。要件は床面積50〜280㎡（貸家40㎡以上）。,法令税
税,印紙税法上、建物の賃貸借契約書は1号文書として課税される。,×,建物の賃貸借契約書は非課税（別表第一に該当なし）。一方、土地の賃借権設定は1号の2で課税。混同必至。,法令税
税,贈与契約書は、対価の記載がないため印紙税は課税されない。,×,贈与契約書は「金額の記載なし」扱いで200円課税。「対価がないから非課税」は誤り。,法令税
税,契約金額の増額変更契約書は、変更後の総額が記載金額となる。,×,増額分（差額）が記載金額（通則4のニ）。減額変更は「金額の記載なし」扱いで200円。,法令税
税,不動産売買契約書の印紙税の軽減措置は、令和9年3月31日までに作成されるものに適用される。,○,租税特別措置法91条。1号文書は10万円超、2号文書は100万円超のものに適用。本則の半額相当に軽減。,法令税
税,登録免許税の所有権移転登記の本則税率は、相続による移転も売買による移転も2.0%である。,×,相続による移転は0.4%（登免税法別表第1）。売買は2.0%。保存と相続が同じ0.4%である点が定番。,法令税
税,住宅用家屋を売買で取得した場合の所有権移転登記には、令和9年3月31日まで0.3%の軽減税率が適用される。,○,租特法73条。住宅軽減は売買のみ、贈与・交換・相続は対象外。床面積50㎡以上・取得後1年以内に登記が要件。,法令税
税,登録免許税の抵当権設定登記の課税標準は、不動産の価額（固定資産税評価額）である。,×,抵当権設定は債権金額（根抵当は極度額）が課税標準。所有権は不動産の価額。混同必至。,法令税
税,土地の所有権移転登記（売買）の軽減税率1.5%は、令和8年3月31日で終了した。,×,令和8年度税制改正で3年延長 → 令和11年3月31日まで。終了していない。最新の改正状況に注意。,法令税
税,譲渡所得の短期・長期の区分は、譲渡した日において所有期間が5年を超えているかで判定する。,×,判定は譲渡した年の1月1日時点（措置法31条2項）。実際は5年超でも、1月1日基準では5年以下になる場合あり（6回お正月を迎える必要）。,法令税
税,"居住用財産の3,000万円特別控除は、所有期間が10年を超えていなければ適用できない。",×,"3,000万円控除は所有期間制限なし（措置法35条1項）。10年超は軽減税率の特例（14.21%）の要件。",法令税
税,"居住用財産の3,000万円特別控除と軽減税率の特例は、併用することができる。",○,"3,000万円控除＋軽減税率は併用可。買換特例とは選択制（併用不可）。住宅ローン控除との併用も原則不可（入居年とその前後2年）。",法令税
税,特定居住用財産の買換特例の譲渡資産の対価は、1億円以下でなければならない。,○,措置法36条の2第1項。1億円超は適用なし。分割売却した場合の合算判定も重要。,法令税
税,"被相続人居住用家屋の譲渡（空き家3,000万円控除）は、令和6年1月1日以降の譲渡で相続人が3人以上の場合、1人あたり3,000万円の控除が受けられる。",×,"令和5年度改正で、相続人3人以上の場合は1人2,000万円が限度に変更。「3人以上でも3,000万円」は誤り。",法令税
税,"相続による所有権移転登記の登録免許税の税率は、1,000分の4（0.4%）である。",○,本則2.0%・住宅用家屋の売買移転0.3%との3点セットで。（登免税法）,直前対策
税,"居住用財産の3,000万円特別控除の適用を受けるには、所有期間が10年を超えていなければならない。",×,"3,000万円控除に所有期間要件はない。10年超が要るのは軽減税率（14.21%）の方。両者は併用可。（租特法35条・31条の3）",直前対策
税,不動産取得税の標準税率は4%だが、住宅および土地の取得は令和9年3月31日まで3%に軽減される。,○,事務所・店舗等は本則4%のまま。（地方税法附則）,直前対策
税,新築住宅の固定資産税は、床面積120㎡相当部分まで税額が2分の1に減額され、一般住宅は3年間、3階建以上の耐火住宅は5年間適用される。,○,床面積要件は50〜280㎡（賃貸40㎡以上）。（地方税法附則15条の6）,直前対策
税,建物の賃貸借契約書は、印紙税の課税文書である。,×,建物の賃貸借契約書は非課税。土地の賃借権設定契約書は1号文書として課税。（印紙税法）,直前対策
その他,盛土規制法では、宅地造成等工事規制区域内で行う盛土により崖が生じる場合、その崖の高さが2mを超えるものが許可対象である。,×,盛土は崖の高さ1m超（令3条1号）、切土は2m超。盛土の方が基準が厳しい。,法令税
その他,不動産鑑定評価基準において、文化財に指定された建造物の評価は、特定価格として求める。,×,文化財等の市場性のないものは特殊価格（総論第5章第3節）。特定価格は市場性あり（証券化対象等）で別物。,法令税
その他,不動産鑑定評価の三手法のうち、収益還元法は賃貸用不動産にのみ適用される。,×,収益還元法は文化財等の市場性なしを除き原則すべての不動産に適用すべき。自用不動産にも基本的に適用。,法令税
その他,原価法による減価修正では、物理的・機能的・経済的の3要因による減価を考慮する。,○,原価法は再調達原価 − 減価修正。3要因はそれぞれ経年劣化／陳腐化／周辺環境変化を表す。,法令税
その他,地価公示は、毎年7月1日を基準日として、土地鑑定委員会が公示する。,×,地価公示の基準日は1月1日。「7月1日」は都道府県地価調査の基準日（国土法）。混同必至。,法令税
その他,地価公示の標準地の鑑定評価は、1人の不動産鑑定士が行えば足りる。,×,地価公示は2人以上の不動産鑑定士が個別に鑑定（法2条1項）。1人以上は都道府県地価調査の要件。,法令税
その他,公示価格は、一般の土地の取引において、その指標として取引を行うよう努めなければならない。,○,法1条の2のとおり。一般取引は努力義務（指標）。一方、鑑定士・公共事業の用地取得は義務（規準）。,法令税
その他,住宅金融支援機構は、フラット35として、住宅取得者に対し長期固定金利の住宅資金を直接貸し付ける。,×,フラット35は機構が債権の買取or保証（法13条1項）。直接貸付ではない。「直接融資」は災害復興・高齢者・財形等の例外のみ。,法令税
その他,住宅金融支援機構は、災害により住宅が滅失した者に対し、災害復興住宅の建設または購入に必要な資金を直接貸し付けることができる。,○,災害復興は法13条1項5号の直接融資の例外。原則の証券化支援とは別枠。,法令税
その他,住宅金融支援機構の業務には、高齢者向けの返済特例（毎月の返済は利息のみ、元金は死亡時に一括返済）が含まれる。,○,シルバー返済特例。高齢者が自ら居住する住宅の改良等に適用される直接融資のメニュー。,法令税
その他,公正競争規約上、徒歩による所要時間は、道路距離80mにつき1分として算出し、1分未満の端数が生じた場合は切り捨てる。,×,道路距離80m＝1分は正しいが、端数は切り上げ（規則9条(9)）。10mであっても1分と表示。,法令税
その他,おとり広告とは、取引する意思がないにもかかわらず広告に掲載する物件をいい、存在しない物件や売約済の物件も含まれる。,○,おとり広告の3類型：①存在しない物件、②売約済等、③取引意思なし（規約21条）。誇大広告（情報の誇張）とは別。,法令税
その他,三角州や後背湿地は、地盤が軟弱で液状化のリスクがあるため、宅地として不適とされる。,○,三角州・後背湿地・旧河道・谷底低地は軟弱地盤で宅地不適。台地・段丘・自然堤防が宅地適。,法令税
その他,扇状地は、その全域において土石流のリスクが高く、宅地として一律不適である。,×,扇状地は砂礫質で安定。扇頂は土石流リスクあるが、扇央〜扇端は宅地に適。「全域不適」は誤り。,法令税
その他,切土地と盛土地は、いずれも地盤の安定性に大きな差はなく、宅地として同程度に適している。,×,切土＝元の地盤で安定／盛土＝地震時に沈下・崩壊リスク。大地震時の崩壊事例（東日本・熊本地震）あり。,法令税
その他,鉄筋コンクリート造は、コンクリートが圧縮力を、鉄筋が引張力を負担することで成り立つ構造である。,○,コンクリ＝圧縮、鉄筋＝引張の役割分担。アルカリ性のコンクリートが鉄筋の錆を防ぐ（中性化すると鉄筋腐食）。かぶり厚が重要。,法令税
その他,建築基準法の新耐震基準は、平成元年6月1日以降に建築確認を受けた建築物に適用される。,×,新耐震基準は昭和56年6月1日以降の建築確認に適用。「平成元年」は誤り。震度6強〜7で倒壊しない設計。,法令税
その他,免震構造は、建物の基礎と建物本体の間に免震装置を設けることで、地震の揺れを建物に伝えにくくする構造である。,○,免震＝揺れを絶縁、制震＝揺れを吸収、耐震＝揺れに耐える。3種の仕組みは別物。,法令税
その他,杭基礎は、地盤が良好な場所において、建物の荷重を浅い位置の固い地層で支えるために用いられる。,×,杭基礎は軟弱地盤で杭を深く打ち、固い支持層で支える基礎。良好地盤では直接基礎（独立基礎・布基礎・ベタ基礎）で十分。,法令税
その他,不動産広告で徒歩所要時間を表示する場合、道路距離80mにつき1分として計算し、端数は切り捨てる。,×,端数は切り上げ。1分未満の端数を捨てると実際より近く見えるため。（表示規約）,直前対策
その他,公園・庭園等の名称を物件名に使用できるのは、当該施設から直線距離300m以内にある場合である。,○,徒歩の「道路距離80m」との使い分け（こちらは直線距離）。（表示規約）,直前対策
